8748.1,902971.4
vehicle_id,category,employee_id,pickup_time,drop_time
V01,Premium,E005,07:50,08:41
V03,Normal,E038,07:15,07:20
V03,Normal,E009,08:30,09:32
V04,Normal,E019,07:40,08:01
V04,Normal,E041,07:41,08:01
V05,Normal,E060,08:01,08:12
V05,Normal,E061,08:01,08:12
V05,Normal,E071,08:00,08:12
V05,Normal,E045,08:49,09:16
V05,Normal,E050,08:45,09:16
V06,Normal,E030,07:05,07:07
V06,Normal,E007,08:20,09:19
V07,Premium,E033,07:50,08:06
V07,Premium,E001,08:52,09:40
V07,Premium,E056,09:31,09:40
V08,Normal,E054,08:40,09:02
V08,Normal,E023,08:42,09:02
V08,Normal,E063,08:40,09:02
V09,Normal,E016,08:57,09:02
V09,Normal,E070,08:45,09:02
V09,Normal,E034,08:40,09:02
V10,Premium,E015,08:17,08:18
V10,Premium,E010,07:30,08:18
V10,Premium,E004,07:30,08:18
V10,Premium,E021,08:52,08:54
V10,Premium,E059,08:36,08:54
V13,Premium,E022,07:20,07:43
V13,Premium,E027,07:14,07:43
V13,Premium,E002,08:45,09:34
V14,Normal,E006,08:00,08:55
V14,Normal,E055,08:47,08:55
V15,Premium,E026,07:00,07:10
V15,Premium,E051,07:01,07:10
V15,Premium,E035,07:18,07:23
V15,Premium,E067,07:30,07:34
V15,Premium,E043,07:54,08:11
V15,Premium,E064,07:52,08:11
V15,Premium,E029,08:20,08:25
V15,Premium,E017,08:15,08:25
V15,Premium,E052,08:32,08:38
V15,Premium,E025,09:04,09:29
V15,Premium,E044,09:37,09:42
V15,Premium,E024,09:36,09:42
V15,Premium,E012,09:48,09:53
V17,Normal,E020,08:40,08:52
V17,Normal,E039,08:40,08:52
V18,Normal,E040,08:40,08:57
V18,Normal,E047,08:51,08:57
V19,Premium,E014,07:46,08:03
V19,Premium,E013,08:24,08:43
V19,Premium,E049,08:51,08:58
V19,Premium,E073,09:06,09:15
V19,Premium,E036,09:33,09:51
V21,Normal,E062,07:34,07:38
V21,Normal,E072,07:30,07:38
V21,Normal,E042,07:45,07:49
V21,Normal,E068,07:47,07:49
V21,Normal,E066,08:32,08:59
V21,Normal,E048,08:30,08:59
V21,Normal,E057,09:07,09:13
V21,Normal,E037,09:11,09:13
V21,Normal,E069,09:22,09:34
V21,Normal,E032,09:25,09:34
V23,Normal,E058,08:44,08:51
V23,Normal,E008,08:15,08:51
V23,Normal,E003,08:15,08:51
V24,Premium,E011,08:34,09:23
V25,Normal,E046,07:46,08:05
V25,Normal,E028,07:45,08:05
V25,Normal,E031,08:22,08:27
V25,Normal,E018,08:12,08:27
V25,Normal,E065,08:47,09:06
V25,Normal,E053,08:48,09:06
